script	dataset	fecha	learning_rate	feature_fraction	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	max_bin	best_iter	auc
lightgbm_BO	./datasets/dataset_caba.csv	20210801 001406	0.0987409479445334	0.406235765796051	4.95213270916882	0.247631060613681	0	284	255.074207349803	40	0.818492542533584
lightgbm_BO	./datasets/dataset_caba.csv	20210801 001629	0.0862279265300826	0.524196509416325	0.348166444658213	199.935562084978	0	1012	255.04398701518	838	0.821889166393406
lightgbm_BO	./datasets/dataset_caba.csv	20210801 001645	0.0730283454585021	0.206961911290496	0.458285655359846	199.950744406323	48	370	255.070564728199	917	0.81992742399376
lightgbm_BO	./datasets/dataset_caba.csv	20210801 001701	0.0755403644273878	0.775904979418859	0.638463663695429	199.80756653121	46	953	255.000438733848	595	0.822169305161065
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002200	0.0480730266975372	0.53299681292323	3.94338628376611	0.0287988538285899	42	20	255.00153288596	109	0.822557010792639
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002206	0.0597821826761311	0.205383858589762	2.06670676239993	17.877537919795	44	139	255.019970662449	130	0.825332013959161
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002214	0.0650564748029412	0.201088243429557	3.70079684033028	10.8916363418154	33	573	255.045343794218	127	0.82355587013893
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002228	0.0585462450597205	0.662094584457599	3.7068261166567	92.3331961221993	61	1023	255.089304468169	605	0.821411988289976
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002251	0.0187370874652522	0.219461220862308	3.77377904068901	0.157175608733193	0	943	255.014528544306	201	0.823562175348681
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002308	0.0438092844204193	0.703893306927657	1.90622656027372	26.9173010336148	39	130	255.009093943571	519	0.823315981217247
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002411	0.0140121628967014	0.777897669791075	3.68603309753215	161.61189444814	52	20	255.001228267248	3609	0.821979486114978
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002419	0.0707473431233364	0.839891007415032	1.93425947969183	88.3684895891318	92	17	255.062628358991	350	0.821002666431275
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002431	0.0842260639409229	0.769251191232436	4.98195118008934	193.096103885435	47	50	255.083341569931	548	0.821001362133711
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002455	0.0358844559160005	0.63178010500242	2.19733858596868	199.381551706753	53	23	255.059451723718	1350	0.820267728064254
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002622	0.0108824889748096	0.831140735401067	4.99786152321307	158.368721788552	52	608	255.062295362774	5070	0.821128425902419
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002636	0.099934516124786	0.670492649324142	4.9657947854676	174.862020389242	52	1008	255.049032431069	543	0.819952236472455
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002645	0.0905058947180452	0.315967262231127	2.2340373893331	0.0271852781219765	1	45	255.029086128756	42	0.826979072647186
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002700	0.0503002643280105	0.480307887534646	4.04832397195032	149.818662167934	56	46	255.056954331707	770	0.820082941920128
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002707	0.0815410362067591	0.392602175252909	2.04592670009551	1.38904419274615	43	295	255.030777736401	66	0.823376175330084
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002725	0.0194528228058614	0.424597501679731	4.71466550780135	2.5069663189852	0	19	255.063225578989	429	0.825810728196238
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002733	0.0793733367736918	0.231890875263513	3.73828494227871	0.0454586387002164	0	77	255.042343210231	93	0.825761232083916
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002748	0.0239763815237761	0.405543252807693	4.99901641879122	0.968223681655994	26	1004	255.015208250347	458	0.822560887609427
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002759	0.0600363372777248	0.359030910013865	2.19881066230724	0.219674372615328	0	24	255.009499048978	149	0.825887180329876
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002806	0.0993135441482015	0.2003031553602	2.07064373863866	0.947096318498133	6	130	255.021345783698	57	0.822215050236053
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002814	0.0582197764312839	0.91501179168634	2.32777287035155	47.7277801606889	109	1024	255.025889391269	263	0.819047195431999
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002820	0.0841716105184078	0.329851996912052	2.12554396400083	36.534174261663	150	19	255.075638867147	216	0.818452321128308
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002830	0.0681622214975128	0.392068701777563	3.91472029169685	0.334423117185768	0	391	255.069711336466	99	0.822623647539941
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002848	0.0324091925960201	0.584958499210002	1.73066231216934	34.8949457284951	33	41	255.004619453823	503	0.823458291769514
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002907	0.0637124103664019	0.998753182503429	3.72452743801477	199.262031724682	53	555	255.069934380954	764	0.8185131611082
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002917	0.0572970163020317	0.211660072815156	4.88680197136219	0.17007819929759	0	931	255.078407304767	88	0.824018799257291
lightgbm_BO	./datasets/dataset_caba.csv	20210801 002926	0.0950455572399648	0.760358299272991	4.99792184837387	130.030192157884	114	737	255.09993214141	320	0.817668922539362
lightgbm_BO	./datasets/dataset_caba.csv	20210801 003034	0.0145257877537765	0.671071377336106	2.27388525304213	166.770221715244	50	1021	255.001383061699	3608	0.821016974131631
lightgbm_BO	./datasets/dataset_caba.csv	20210801 003136	0.0213836518881955	0.562255728688189	4.97386313899778	199.554066613384	43	335	255.000660852727	3296	0.819731947916431
lightgbm_BO	./datasets/dataset_caba.csv	20210801 003145	0.0556484407065106	0.470230226759957	1.38313418253953	104.970740795898	146	1022	255.046243709001	400	0.816476186168156
lightgbm_BO	./datasets/dataset_caba.csv	20210801 003211	0.0302090939424668	0.77301029338016	4.97019123978448	13.2226734777759	0	981	255.092984513573	231	0.820362084885037
lightgbm_BO	./datasets/dataset_caba.csv	20210801 003224	0.0355880665883163	0.231875365308987	4.82034039491515	0.229014602006043	0	243	255.030481975585	136	0.822976267649371
